	superkingdom	phylum	class	order	family	genus	species
GCF_900107105.1	Bacteria	Actinobacteria	Actinomycetia	Geodermatophilales	Geodermatophilaceae	Geodermatophilus	Geodermatophilus africanus
GCF_900107125.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium barkeri
GCF_900107135.1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Hymenobacteraceae	Hymenobacter	Hymenobacter psychrophilus
GCF_900107145.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	Allochromatium warmingii
GCF_900107165.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas halophila
GCF_900107195.1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	Halobellus clavatus
GCF_900107215.1	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Acetomicrobium	Acetomicrobium thermoterrenum
GCF_900107235.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Citreimonas	Citreimonas salinaria
GCF_900107245.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnobacterium	Lachnobacterium bovis
GCF_900107255.1	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Micromonospora	Micromonospora pattaloongensis
GCF_900107275.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Evansella	Evansella caseinilytica
GCF_900107285.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter kyonggiensis
GCF_900107355.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Lentibacter	Lentibacter algarum
GCF_900107385.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Tessaracoccus	Tessaracoccus flavus
GCF_900107405.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Tindallia	Tindallia californiensis
GCF_900107415.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Jannaschia	Jannaschia faecimaris
GCF_900107435.1	Bacteria	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Herbiconiux	Herbiconiux ginsengi
GCF_900107455.1	Bacteria	Actinobacteria	Actinomycetia	Micromonosporales	Micromonosporaceae	Asanoa	Asanoa ishikariensis
GCF_900107485.1	Bacteria	Firmicutes	Clostridia	Eubacteriales		Proteiniborus	Proteiniborus ethanoligenes
GCF_900107535.1	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	Pedobacter hartonius
GCF_900107585.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubrimonas	Rubrimonas cliftonensis
GCF_900107595.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Psychroflexus	Psychroflexus halocasei
GCF_900107605.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax soli
GCF_900107625.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bizionia	Bizionia paragorgiae
GCF_900107635.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium gillisiae
GCF_900107645.1	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromusa	Desulfuromusa kysingii
GCF_900107665.1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus vescus
GCF_900107675.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	Alistipes timonensis
GCF_900107685.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	Paraburkholderia sartisoli
GCF_900107695.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	Thiothrix caldifontis
GCF_900107725.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Microbulbiferaceae	Microbulbifer	Microbulbifer marinus
GCF_900107755.1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Thalassobacillus	Thalassobacillus cyri
GCF_900107765.1	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Arachidicoccus	Arachidicoccus rhizosphaerae
GCF_900107795.1	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga terrae Kim and Jung 2007
GCF_900107815.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Eubacteriaceae	Eubacterium	Eubacterium aggregans
GCF_900107845.1	Bacteria	Proteobacteria	Gammaproteobacteria			Alkalimonas	Alkalimonas amylolytica
GCF_900107855.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium georgiense
GCF_900107885.1	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Lonsdalea	Lonsdalea quercina
GCF_900107925.1	Bacteria	Actinobacteria	Actinomycetia	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis pretoriensis
GCF_900107935.1	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	Vibrio hangzhouensis
GCF_900107965.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces yanglinensis
GCF_900108005.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aestusnigri
GCF_900108015.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium urumqiense
GCF_900108025.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Halpernia	Chryseobacterium humi
GCF_900108045.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Caloramator	Caloramator fervidus
GCF_900108055.1	Bacteria	Actinobacteria	Thermoleophilia	Thermoleophilales	Thermoleophilaceae	Thermoleophilum	Thermoleophilum album
GCF_900108065.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinobacterium	Marinobacterium lutimaris
GCF_900108085.1	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus boritolerans
GCF_900108095.1	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum sediminis
GCF_900108165.1	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halobellus	Halobellus limi
GCF_900108175.1	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Thermomonosporaceae	Thermomonospora	Thermomonospora echinospora
GCF_900108185.1	Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Bryocella	Bryocella elongata
GCF_900108215.1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas daqingensis
GCF_900108225.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Thalassococcus	Thalassococcus halodurans
GCF_900108245.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Boseaceae	Bosea	Bosea lathyri
GCF_900108275.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Jhaorihella	Jhaorihella thermophila
GCF_900108335.1	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea	Nonomuraea solani
GCF_900108345.1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ndongoniae
GCF_900108365.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium culicis
GCF_900108395.1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium marinum
GCF_900108405.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus alkenifer
GCF_900108425.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Rhizobium	Rhizobium tibeticum
GCF_900108455.1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Fructobacillus	Fructobacillus pseudoficulneus
